obs,date,season,holiday,working_day,weather_condition,temp,feel_temp,humidity,wind_speed,occasional,members,rental
41,2011-02-10,1,0,1,1,5.918268,7.4774,0.437391,14.869645,47,1491,1538
42,2011-02-11,1,0,1,1,7.752731,10.67545,0.506364,7.27285,149,1597,1746
43,2011-02-12,1,0,0,1,9.1225,11.6477,0.544167,13.625589,288,1184,1472
44,2011-02-13,1,0,0,1,12.977402,16.20565,0.457391,17.479161,397,1192,1589
45,2011-02-14,1,0,1,1,17.015,19.9175,0.375833,27.999836,208,1705,1913
46,2011-02-15,1,0,1,1,10.909567,12.7137,0.314348,19.522058,140,1675,1815
47,2011-02-16,1,0,1,1,13.048701,15.81,0.423478,16.869997,218,1897,2115
48,2011-02-17,1,0,1,1,17.869153,21.4329,0.505,15.416968,259,2216,2475
49,2011-02-18,1,0,1,1,21.388347,25.59915,0.516667,17.749975,579,2348,2927
50,2011-02-19,1,0,0,1,16.365847,19.5702,0.187917,34.000021,532,1103,1635
51,2011-02-20,1,0,0,1,11.693897,13.8665,0.407826,14.956745,639,1173,1812
52,2011-02-21,1,1,0,2,12.436653,14.20375,0.605,20.625682,195,912,1107
53,2011-02-22,1,0,1,1,7.471102,9.30165,0.577778,13.110761,74,1376,1450
54,2011-02-23,1,0,1,1,9.091299,12.28585,0.423043,6.305571,139,1778,1917
55,2011-02-24,1,0,1,2,12.121732,14.45955,0.697391,16.783232,100,1707,1807
56,2011-02-25,1,0,1,2,14.938268,17.52305,0.712174,23.218113,120,1341,1461
57,2011-02-26,1,0,0,1,11.5825,14.1096,0.537917,12.500257,424,1545,1969
58,2011-02-27,1,0,0,1,14.082598,17.55545,0.68,8.391616,694,1708,2402
59,2011-02-28,1,0,1,2,16.698193,20.0059,0.876364,19.408962,81,1365,1446
60,2011-03-01,1,0,1,1,10.933347,13.19395,0.535,14.500475,137,1714,1851
61,2011-03-02,1,0,1,1,13.735,16.00355,0.449583,20.624811,231,1903,2134
62,2011-03-03,1,0,1,1,8.131653,10.00665,0.318333,15.125518,123,1562,1685
63,2011-03-04,1,0,1,2,10.728347,12.78395,0.610417,13.624182,214,1730,1944
64,2011-03-05,1,0,0,2,15.750847,18.93895,0.789167,16.875357,640,1437,2077
65,2011-03-06,1,0,0,2,15.437402,18.3126,0.948261,23.000229,114,491,605
66,2011-03-07,1,0,1,1,10.731299,11.92305,0.551304,22.870584,244,1628,1872
67,2011-03-08,1,0,1,1,11.9925,15.12,0.420833,8.08355,316,1817,2133
68,2011-03-09,1,0,1,2,12.129153,14.3304,0.775417,14.75005,191,1700,1891
69,2011-03-10,1,0,1,3,15.952731,19.2834,0,17.545759,46,577,623
70,2011-03-11,1,0,1,2,12.977402,15.25,0.649565,15.60899,247,1730,1977
71,2011-03-12,1,0,0,1,13.495847,16.2875,0.594583,14.791925,724,1408,2132
72,2011-03-13,1,0,0,1,15.758268,19.00455,0.527391,18.130468,982,1435,2417
73,2011-03-14,1,0,1,1,13.333897,16.6,0.496957,9.174042,359,1687,2046
74,2011-03-15,1,0,1,2,13.013031,15.9089,0.655652,12.348703,289,1767,2056
75,2011-03-16,1,0,1,2,14.973897,18.3465,0.776522,13.608839,321,1871,2192
76,2011-03-17,1,0,1,1,17.015,20.51665,0.602917,14.041793,424,2320,2744
77,2011-03-18,1,0,1,1,22.14,26.35045,0.525217,15.478139,884,2355,3239
78,2011-03-19,1,0,0,1,19.3725,23.32625,0.379167,24.667189,1424,1693,3117
79,2011-03-20,1,0,0,1,13.6325,16.2875,0.47375,13.917307,1047,1424,2471
80,2011-03-21,2,0,1,2,17.647835,20.48675,0.737391,19.348461,401,1676,2077
81,2011-03-22,2,0,1,1,18.108347,22.0321,0.624583,15.12525,460,2243,2703
82,2011-03-23,2,0,1,2,14.225237,16.89695,0.839565,15.695487,203,1918,2121
83,2011-03-24,2,0,1,2,11.685,13.54165,0.805833,16.333729,166,1699,1865
84,2011-03-25,2,0,1,1,10.830847,12.8156,0.495,15.458575,300,1910,2210
85,2011-03-26,2,0,0,1,10.899153,12.87855,0.394167,14.041257,981,1515,2496
86,2011-03-27,2,0,0,2,10.374763,12.51695,0.493913,12.3481,472,1221,1693
87,2011-03-28,2,0,1,1,10.838268,12.8787,0.302174,14.217668,222,1806,2028
88,2011-03-29,2,0,1,1,12.4025,14.6454,0.314167,15.208732,317,2108,2425
89,2011-03-30,2,0,1,2,12.3,14.8675,0.646667,11.583496,168,1368,1536
90,2011-03-31,2,0,1,3,11.001653,12.87875,0.918333,14.582282,179,1506,1685
91,2011-04-01,2,0,1,2,12.3,14.1727,0.68625,17.333436,307,1920,2227
92,2011-04-02,2,0,0,2,12.915,15.78185,0.65375,13.208782,898,1354,2252
93,2011-04-03,2,0,0,1,15.511653,18.93835,0.48,12.208271,1651,1598,3249
94,2011-04-04,2,0,1,1,23.506653,27.14645,0.42625,25.833257,734,2381,3115
95,2011-04-05,2,0,1,2,16.980847,19.9175,0.642083,26.000489,167,1628,1795
96,2011-04-06,2,0,1,1,16.024153,19.3804,0.470833,17.625221,413,2395,2808
97,2011-04-07,2,0,1,1,17.9375,21.6848,0.602917,10.874904,571,2570,3141
98,2011-04-08,2,0,1,2,13.769153,16.22395,0.83625,15.208464,172,1299,1471
99,2011-04-09,2,0,0,2,14.0425,17.07645,0.8775,8.916561,879,1576,2455
100,2011-04-10,2,0,0,2,17.493347,21.33685,0.8575,9.833389,1188,1707,2895
101,2011-04-11,2,0,1,2,24.421732,28.26085,0.716956,21.739758,855,2493,3348
102,2011-04-12,2,0,1,2,20.6025,24.6527,0.739167,18.416893,257,1777,2034
103,2011-04-13,2,0,1,2,16.9125,20.86415,0.819167,16.791339,209,1953,2162
104,2011-04-14,2,0,1,1,19.1675,23.1371,0.540417,7.4169,529,2738,3267
105,2011-04-15,2,1,0,1,18.313347,22.09565,0.67125,15.167125,642,2484,3126
106,2011-04-16,2,0,0,3,17.664153,21.2746,0.888333,22.834136,121,674,795
107,2011-04-17,2,0,0,1,18.723347,22.2848,0.479583,20.334232,1558,2186,3744
108,2011-04-18,2,0,1,1,21.0125,25.1573,0.5425,10.958989,669,2760,3429
109,2011-04-19,2,0,1,2,20.739153,24.4629,0.665833,10.584057,409,2795,3204
110,2011-04-20,2,0,1,1,24.395,28.2196,0.614167,16.208975,613,3331,3944
111,2011-04-21,2,0,1,1,18.825847,22.6946,0.407083,21.792286,745,3444,4189
112,2011-04-22,2,0,1,2,13.803347,16.0977,0.729583,14.707907,177,1506,1683
113,2011-04-23,2,0,0,2,18.86,22.50605,0.887917,15.458575,1462,2574,4036
114,2011-04-24,2,0,0,2,23.848347,27.58815,0.810833,12.875725,1710,2481,4191
115,2011-04-25,2,0,1,1,24.873347,28.725,0.776667,12.417311,773,3300,4073
116,2011-04-26,2,0,1,1,25.898347,29.70415,0.729167,21.8755,678,3722,4400
117,2011-04-27,2,0,1,2,25.42,28.7571,0.835417,20.9174,547,3325,3872
118,2011-04-28,2,0,1,2,25.3175,28.94645,0.700833,21.500836,569,3489,4058
119,2011-04-29,2,0,1,1,20.91,24.87315,0.457083,16.084221,878,3717,4595
120,2011-04-30,2,0,0,1,19.3725,23.20105,0.503333,15.750025,1965,3347,5312
121,2011-05-01,2,0,0,2,18.518347,22.4102,0.762083,7.125718,1138,2213,3351
122,2011-05-02,2,0,1,2,22.515847,26.64165,0.73,12.291418,847,3554,4401
123,2011-05-03,2,0,1,2,25.283347,29.10395,0.697083,22.958689,603,3848,4451
124,2011-05-04,2,0,1,2,16.980847,20.2325,0.737083,22.042732,255,2378,2633
125,2011-05-05,2,0,1,1,18.825847,22.09585,0.444167,19.791264,614,3819,4433
126,2011-05-06,2,0,1,1,19.645847,23.70585,0.59,15.292482,894,3714,4608
127,2011-05-07,2,0,0,1,21.32,25.63105,0.54125,10.75015,1612,3102,4714
128,2011-05-08,2,0,0,1,21.661653,25.94665,0.631667,5.0007125,1401,2932,4333
129,2011-05-09,2,0,1,1,21.8325,26.2623,0.58875,11.792,664,3698,4362
130,2011-05-10,2,0,1,1,21.8325,26.13605,0.489167,7.749957,694,4109,4803
131,2011-05-11,2,0,1,1,22.2425,26.42,0.632917,8.083014,550,3632,4182
132,2011-05-12,2,0,1,1,21.935,26.16815,0.7475,12.707689,695,4169,4864
133,2011-05-13,2,0,1,2,21.0125,24.715,0.863333,12.041575,692,3413,4105
134,2011-05-14,2,0,0,2,21.354153,25.03145,0.9225,9.04165,902,2507,3409
135,2011-05-15,2,0,0,2,23.0625,26.8,0.867083,10.249593,1582,2971,4553
136,2011-05-16,2,0,1,1,23.6775,27.5256,0.787917,8.500357,773,3185,3958
137,2011-05-17,2,0,1,2,23.028347,26.92645,0.837917,18.582718,678,3445,4123
138,2011-05-18,2,0,1,2,22.55,26.3579,0.87,13.499964,536,3319,3855
139,2011-05-19,2,0,1,2,21.764153,25.5371,0.829583,7.250271,735,3840,4575
140,2011-05-20,2,0,1,1,22.003347,26.4521,0.719583,8.375871,909,4008,4917
141,2011-05-21,2,0,0,1,24.7025,28.59875,0.626667,8.08355,2258,3547,5805
142,2011-05-22,2,0,0,1,24.770847,28.725,0.749583,9.916536,1576,3084,4660
143,2011-05-23,2,0,1,2,25.898347,29.5148,0.81,15.667414,836,3438,4274
144,2011-05-24,2,0,1,2,27.06,30.24065,0.740833,13.875164,659,3833,4492
145,2011-05-25,2,0,1,1,27.094153,30.7771,0.69625,10.333611,740,4238,4978
146,2011-05-26,2,0,1,1,29.041653,32.7344,0.6775,13.376014,758,3919,4677
147,2011-05-27,2,0,1,1,27.948347,31.8504,0.65375,16.125493,871,3808,4679
148,2011-05-28,2,0,0,1,26.889153,30.61895,0.729583,15.416164,2001,2757,4758
149,2011-05-29,2,0,0,1,27.3675,30.7775,0.81875,14.333846,2355,2433,4788
150,2011-05-30,2,1,0,1,30.066653,33.5546,0.685,8.792075,1549,2549,4098
151,2011-05-31,2,0,1,1,31.775,36.26915,0.636667,7.459043,673,3309,3982
152,2011-06-01,2,0,1,2,31.330847,36.04835,0.677083,13.875164,513,3461,3974
153,2011-06-02,2,0,1,1,29.315,32.1971,0.305,19.583229,736,4232,4968
154,2011-06-03,2,0,1,1,25.42,29.35665,0.354167,16.959107,898,4414,5312
155,2011-06-04,2,0,0,1,26.035,29.7348,0.45625,8.250514,1869,3473,5342
156,2011-06-05,2,0,0,2,26.581653,30.8402,0.6525,9.292364,1685,3221,4906
157,2011-06-06,2,0,1,1,27.811653,31.0929,0.6,8.167032,673,3875,4548
158,2011-06-07,2,0,1,1,29.0075,32.7975,0.597917,12.583136,763,4070,4833
159,2011-06-08,2,0,1,1,31.809153,36.36395,0.622083,9.166739,676,3725,4401
160,2011-06-09,2,0,1,2,33.141653,37.87895,0.568333,10.042161,563,3352,3915
161,2011-06-10,2,0,1,1,30.955,35.1646,0.605,9.417118,815,3771,4586
162,2011-06-11,2,0,0,1,29.725,33.9019,0.654583,10.37495,1729,3237,4966
163,2011-06-12,2,0,0,1,28.3925,32.16625,0.747917,10.958989,1467,2993,4460
164,2011-06-13,2,0,1,1,26.035,30.0827,0.494583,20.45845,863,4157,5020
165,2011-06-14,2,0,1,1,24.770847,29.5773,0.507083,18.041961,727,4164,4891
166,2011-06-15,2,0,1,1,25.693347,29.3877,0.471667,11.250104,769,4411,5180
167,2011-06-16,2,0,1,2,25.761653,29.7673,0.688333,13.833557,545,3222,3767
168,2011-06-17,2,0,1,1,26.615847,30.01915,0.735833,9.582943,863,3981,4844
169,2011-06-18,2,0,0,1,28.563347,32.1977,0.670417,8.000336,1807,3312,5119
170,2011-06-19,2,0,0,2,28.665847,32.2923,0.666667,6.834,1639,3105,4744
171,2011-06-20,2,0,1,2,26.035,29.7673,0.74625,10.416825,699,3311,4010
172,2011-06-21,3,0,1,2,27.914153,31.8823,0.770417,11.458675,774,4061,4835
173,2011-06-22,3,0,1,1,30.066653,34.69145,0.7075,11.541554,661,3846,4507
174,2011-06-23,3,0,1,2,29.861653,34.69165,0.703333,15.999868,746,4044,4790
175,2011-06-24,3,0,1,1,29.690847,32.82915,0.573333,14.875675,969,4022,4991
176,2011-06-25,3,0,0,1,28.495,32.16565,0.483333,14.041257,1782,3420,5202
177,2011-06-26,3,0,0,1,27.88,31.88145,0.513333,6.3337311,1920,3385,5305
178,2011-06-27,3,0,1,2,27.9825,31.8502,0.658333,7.208396,854,3854,4708
179,2011-06-28,3,0,1,1,30.510847,34.6279,0.634167,9.666961,732,3916,4648
180,2011-06-29,3,0,1,1,29.861653,32.7344,0.497917,17.542007,848,4377,5225
181,2011-06-30,3,0,1,1,28.563347,31.8504,0.434167,12.415904,1027,4488,5515
182,2011-07-01,3,0,1,1,29.6225,32.6081,0.39625,6.874736,1246,4116,5362
183,2011-07-02,3,0,0,1,30.271653,33.3654,0.444583,7.709154,2204,2915,5119
184,2011-07-03,3,0,0,2,29.383347,33.42875,0.6825,15.333486,2282,2367,4649
185,2011-07-04,3,1,0,2,29.793347,33.27085,0.637917,5.4591064,3065,2978,6043
186,2011-07-05,3,0,1,1,30.613347,34.8169,0.590417,8.459286,1031,3634,4665
187,2011-07-06,3,0,1,1,29.52,34.28165,0.743333,10.042161,784,3845,4629
188,2011-07-07,3,0,1,1,30.75,34.34355,0.65125,10.6664,754,3838,4592
189,2011-07-08,3,0,1,2,29.075847,33.52415,0.757917,15.083643,692,3348,4040
190,2011-07-09,3,0,0,1,30.066653,33.2079,0.609167,11.250104,1988,3348,5336
191,2011-07-10,3,0,0,1,30.6475,34.50125,0.578333,12.292557,1743,3138,4881
192,2011-07-11,3,0,1,1,31.2625,36.4902,0.635833,18.916579,723,3363,4086
193,2011-07-12,3,0,1,1,32.560847,36.96375,0.559167,13.417018,662,3596,4258
194,2011-07-13,3,0,1,1,30.613347,34.4702,0.631667,9.790911,748,3594,4342
195,2011-07-14,3,0,1,1,27.914153,31.7552,0.47625,16.124689,888,4196,5084
196,2011-07-15,3,0,1,1,27.196653,31.21855,0.59125,12.249811,1318,4220,5538
197,2011-07-16,3,0,0,1,28.153347,31.91315,0.585,13.958914,2418,3505,5923
198,2011-07-17,3,0,0,1,29.485847,33.49165,0.604167,16.417211,2006,3296,5302
199,2011-07-18,3,0,1,1,30.613347,35.19625,0.65125,14.458868,841,3617,4458
200,2011-07-19,3,0,1,1,31.843347,37.37395,0.650417,8.7502,752,3789,4541
201,2011-07-20,3,0,1,1,31.501653,37.3425,0.707083,7.625739,644,3688,4332
202,2011-07-21,3,0,1,2,33.415,41.31855,0.69125,14.875407,632,3152,3784
203,2011-07-22,3,0,1,1,34.781653,42.0448,0.580417,8.9177,562,2825,3387
204,2011-07-23,3,0,0,1,34.815847,40.21435,0.5,8.791807,987,2298,3285
205,2011-07-24,3,0,0,1,34.03,39.74145,0.550833,11.334457,1050,2556,3606
206,2011-07-25,3,0,1,1,30.476653,36.0479,0.757083,6.0841561,568,3272,3840
207,2011-07-26,3,0,1,1,31.638347,34.84895,0.540833,13.417286,750,3840,4590
208,2011-07-27,3,0,1,1,31.775,34.53335,0.402917,12.292021,755,3901,4656
209,2011-07-28,3,0,1,1,31.945847,36.995,0.583333,11.958093,606,3784,4390
210,2011-07-29,3,0,1,1,34.371653,39.29835,0.5425,11.667246,670,3176,3846
211,2011-07-30,3,0,0,1,32.970847,36.42685,0.465833,11.291979,1559,2916,4475
212,2011-07-31,3,0,0,1,33.039153,36.4898,0.480833,11.042471,1524,2778,4302
213,2011-08-01,3,0,1,1,31.638347,35.1646,0.550833,10.500039,729,3537,4266
214,2011-08-02,3,0,1,1,32.116653,35.35355,0.49125,13.79195,801,4044,4845
215,2011-08-03,3,0,1,2,29.998347,33.99685,0.6575,9.084061,467,3107,3574
216,2011-08-04,3,0,1,2,29.11,33.2394,0.7575,13.20905,799,3777,4576
217,2011-08-05,3,0,1,1,29.144153,32.82835,0.630833,12.374632,1023,3843,4866
218,2011-08-06,3,0,0,2,29.383347,33.8077,0.755,15.29275,1521,2773,4294
219,2011-08-07,3,0,0,1,30.4425,35.7646,0.752917,13.499629,1298,2487,3785
220,2011-08-08,3,0,1,1,31.365,35.16415,0.592083,12.875725,846,3480,4326
221,2011-08-09,3,0,1,1,31.775,36.20605,0.570417,10.125107,907,3695,4602
222,2011-08-10,3,0,1,1,31.433347,34.24915,0.424167,13.417286,884,3896,4780
223,2011-08-11,3,0,1,1,29.4175,32.57605,0.42375,11.041332,812,3980,4792
224,2011-08-12,3,0,1,1,29.041653,32.7021,0.415,8.416607,1051,3854,4905
225,2011-08-13,3,0,0,2,28.119153,32.2929,0.729583,14.167418,1504,2646,4150
226,2011-08-14,3,0,0,2,27.743347,31.2194,0.8175,14.916411,1338,2482,3820
227,2011-08-15,3,0,1,1,27.299153,30.80835,0.712083,13.999918,775,3563,4338
228,2011-08-16,3,0,1,1,28.734153,32.29185,0.578333,15.834043,721,4004,4725
229,2011-08-17,3,0,1,1,29.656653,33.33355,0.575417,9.625689,668,4026,4694
230,2011-08-18,3,0,1,1,29.178347,33.1129,0.654583,15.624936,639,3166,3805
231,2011-08-19,3,0,1,2,28.085,31.66105,0.722917,9.333636,797,3356,4153
232,2011-08-20,3,0,0,1,28.5975,32.4498,0.674167,6.999289,1914,3277,5191
233,2011-08-21,3,0,0,1,29.144153,33.77625,0.77,16.666518,1249,2624,3873
234,2011-08-22,3,0,1,1,28.358347,31.9127,0.47,18.54225,833,3925,4758
235,2011-08-23,3,0,1,1,26.274153,30.30335,0.455417,9.833121,1281,4614,5895
236,2011-08-24,3,0,1,1,27.606653,31.5346,0.605,16.958236,949,4181,5130
237,2011-08-25,3,0,1,2,28.050847,32.2927,0.771667,14.125811,435,3107,3542
238,2011-08-26,3,0,1,1,28.7,32.98665,0.76125,5.6254875,768,3893,4661
239,2011-08-27,3,0,0,2,27.88,31.7778,0.85,25.166339,226,889,1115
240,2011-08-28,3,0,0,1,28.989419,32.39795,0.561765,20.412153,1415,2919,4334
241,2011-08-29,3,0,1,1,26.103347,30.3979,0.554583,10.708275,729,3905,4634
242,2011-08-30,3,0,1,1,26.205847,29.7352,0.548333,8.375536,775,4429,5204
243,2011-08-31,3,0,1,1,26.923347,30.55605,0.597917,5.5833311,688,4370,5058
244,2011-09-01,3,0,1,1,26.855,30.74605,0.639167,9.500332,783,4332,5115
245,2011-09-02,3,0,1,2,26.376653,30.2404,0.727083,9.375243,875,3852,4727
246,2011-09-03,3,0,0,1,27.435847,31.66065,0.716667,12.416775,1935,2549,4484
247,2011-09-04,3,0,0,1,29.075847,33.27145,0.742083,13.833289,2521,2419,4940
248,2011-09-05,3,1,0,2,27.606653,31.2823,0.790417,14.250632,1236,2115,3351
249,2011-09-06,3,0,1,3,22.14,25.76,0.886957,23.044181,204,2506,2710
250,2011-09-07,3,0,1,3,24.565847,27.21145,0.917083,6.5003936,118,1878,1996
251,2011-09-08,3,0,1,3,25.990433,27.76805,0.939565,12.914116,153,1689,1842
252,2011-09-09,3,0,1,2,26.65,28.9473,0.897917,8.333393,417,3127,3544
253,2011-09-10,3,0,0,1,27.06,30.3981,0.75375,10.291736,1750,3595,5345
254,2011-09-11,3,0,0,1,26.786653,30.46145,0.71375,7.708618,1633,3413,5046
255,2011-09-12,3,0,1,1,26.418268,30.1065,0.692174,5.957171,690,4023,4713
256,2011-09-13,3,0,1,1,26.684153,30.1777,0.7125,9.500868,701,4062,4763
257,2011-09-14,3,0,1,1,27.606653,31.345,0.697083,11.2091,647,4138,4785
258,2011-09-15,3,0,1,2,23.6775,27.68355,0.709167,18.166782,428,3231,3659
259,2011-09-16,3,0,1,2,19.235847,23.07375,0.590417,11.000261,742,4018,4760
260,2011-09-17,3,0,0,2,20.158347,23.9256,0.718333,12.708225,1434,3077,4511
261,2011-09-18,3,0,0,1,20.8075,24.52685,0.695,11.958361,1353,2921,4274
262,2011-09-19,3,0,1,2,22.515847,26.48375,0.69,10.166714,691,3848,4539
263,2011-09-20,3,0,1,2,23.028347,26.61085,0.88125,9.041918,438,3203,3641
264,2011-09-21,3,0,1,2,24.395,27.52665,0.9,6.4590814,539,3813,4352
265,2011-09-22,3,0,1,2,25.761653,27.74815,0.902083,8.584375,555,4240,4795
266,2011-09-23,4,0,1,2,24.975847,26.10625,0.9725,5.2505689,258,2137,2395
267,2011-09-24,4,0,0,2,24.873347,28.2206,0.8625,5.2516811,1776,3647,5423
268,2011-09-25,4,0,0,2,26.000847,28.63185,0.845,3.3754064,1544,3466,5010
269,2011-09-26,4,0,1,2,26.615847,29.4521,0.848333,7.4169,684,3946,4630
270,2011-09-27,4,0,1,2,26.103347,28.72625,0.885417,7.917457,477,3643,4120
271,2011-09-28,4,0,1,2,26.035,28.7579,0.84875,9.958143,480,3427,3907
272,2011-09-29,4,0,1,1,25.283347,28.7256,0.699167,11.583161,653,4186,4839
273,2011-09-30,4,0,1,1,23.130847,27.24145,0.6475,13.833825,830,4372,5202
274,2011-10-01,4,0,0,2,16.81,20.64315,0.75375,19.583832,480,1949,2429
275,2011-10-02,4,0,0,2,14.623347,17.26585,0.791667,14.874871,616,2302,2918
276,2011-10-03,4,0,1,2,15.750847,19.6023,0.760833,5.5841686,330,3240,3570
277,2011-10-04,4,0,1,1,19.850847,23.6429,0.71,13.792218,486,3970,4456
278,2011-10-05,4,0,1,1,22.071653,26.3569,0.647917,11.87575,559,4267,4826
279,2011-10-06,4,0,1,1,20.260847,24.02125,0.620833,9.041918,639,4126,4765
280,2011-10-07,4,0,1,1,20.944153,25.2202,0.684167,1.5002439,949,4036,4985
281,2011-10-08,4,0,0,1,21.388347,25.6621,0.70125,3.0420814,2235,3174,5409
282,2011-10-09,4,0,0,1,22.174153,26.19915,0.7275,4.25115,2397,3114,5511
283,2011-10-10,4,1,0,1,23.404153,27.14625,0.73375,2.8343814,1514,3603,5117
284,2011-10-11,4,0,1,2,23.233347,27.3048,0.80875,9.583814,667,3896,4563
285,2011-10-12,4,0,1,3,22.276653,25.88585,0.90625,16.62605,217,2199,2416
286,2011-10-13,4,0,1,2,24.155847,27.5902,0.896667,9.499729,290,2623,2913
287,2011-10-14,4,0,1,2,22.584153,26.48375,0.71625,15.000161,529,3115,3644
288,2011-10-15,4,0,0,1,20.773347,24.93625,0.483333,17.291561,1899,3318,5217
289,2011-10-16,4,0,0,1,20.978347,25.1577,0.486667,18.875039,1748,3293,5041
290,2011-10-17,4,0,1,1,21.900847,25.53625,0.579583,11.750393,713,3857,4570
291,2011-10-18,4,0,1,2,21.8325,26.13605,0.701667,7.375829,637,4111,4748
292,2011-10-19,4,0,1,3,22.211299,25.6924,0.895217,16.303713,254,2170,2424
293,2011-10-20,4,0,1,1,19.509153,23.32625,0.63625,28.292425,471,3724,4195
294,2011-10-21,4,0,1,1,17.5275,21.1798,0.574167,14.833532,676,3628,4304
295,2011-10-22,4,0,0,1,17.3225,21.2746,0.629167,6.2086689,1499,2809,4308
296,2011-10-23,4,0,0,1,17.288347,21.11665,0.74125,6.6673375,1619,2762,4381
297,2011-10-24,4,0,1,1,18.996653,22.85335,0.772083,7.959064,699,3488,4187
298,2011-10-25,4,0,1,1,19.338347,23.16875,0.622917,11.166086,695,3992,4687
299,2011-10-26,4,0,1,2,19.850847,23.6423,0.720417,9.959014,404,3490,3894
300,2011-10-27,4,0,1,2,19.27,22.8523,0.812917,13.250121,240,2419,2659
301,2011-10-28,4,0,1,2,13.564153,15.9406,0.585833,15.375093,456,3291,3747
302,2011-10-29,4,0,0,3,10.420847,11.39565,0.8825,23.541857,57,570,627
303,2011-10-30,4,0,0,1,13.085847,16.06645,0.62375,11.833339,885,2446,3331
304,2011-10-31,4,0,1,1,13.94,17.80315,0.703333,7.12545,362,3307,3669
305,2011-11-01,4,0,1,1,16.434153,19.8544,0.68375,9.083257,410,3658,4068
306,2011-11-02,4,0,1,1,15.4775,19.50665,0.71875,5.5001439,370,3816,4186
307,2011-11-03,4,0,1,1,16.741653,20.29605,0.702083,9.166739,318,3656,3974
308,2011-11-04,4,0,1,2,16.536653,20.1696,0.6225,18.209193,470,3576,4046
309,2011-11-05,4,0,0,1,13.393347,16.1927,0.519167,12.667154,1156,2770,3926
